,,,,,Profit,Quantity,Region,Row.ID,Sales,Segment,Ship.Date,Ship.Mode,Shipping.Cost,State,Sub.Category,Year,Market2,weeknum
,,,,,9.3312,3,West,36624,19,Consumer,00:00.0,Second Class,4.37,California,Paper,2011,North America,2
,,,,,9.2928,2,West,37033,19,Consumer,00:00.0,Standard Class,0.94,California,Paper,2011,North America,4
,,,,,9.8418,3,West,31468,21,Consumer,00:00.0,Standard Class,1.81,California,Paper,2011,North America,32
,,,,,53.2608,2,West,31469,111,Consumer,00:00.0,Standard Class,4.59,California,Paper,2011,North America,32
,,,,,3.1104,1,West,32440,6,Consumer,00:00.0,Standard Class,1.32,California,Paper,2011,North America,40
,,,,,6.5856,3,West,32890,13,Consumer,00:00.0,Same Day,2.39,California,Paper,2011,North America,43
,,,,,9.3312,3,West,35608,19,Consumer,00:00.0,Standard Class,1.15,California,Paper,2011,North America,45
,,,,,5.8604,2,West,33709,12,Consumer,00:00.0,Standard Class,0.92,California,Paper,2011,North America,46
,,,,,24.219,9,West,35267,54,Consumer,00:00.0,Standard Class,6.98,California,Paper,2011,North America,48
,,,,,23.0864,4,West,38866,49,Consumer,00:00.0,Standard Class,1.99,California,Paper,2011,North America,50
,,,,,41.5104,6,West,33788,90,Consumer,00:00.0,Second Class,8.53,California,Paper,2011,North America,51
,,,,,6.4128,2,West,33544,13,Consumer,00:00.0,Second Class,1,California,Paper,2012,North America,7
,,,,,9.3312,3,West,33548,19,Consumer,00:00.0,Second Class,0.06,California,Paper,2012,North America,7
,,,,,17.3148,3,West,39431,37,Consumer,00:00.0,Standard Class,4.04,California,Paper,2012,North America,7
,,,,,16.032,5,West,31990,33,Consumer,00:00.0,Standard Class,2.25,California,Paper,2012,North America,13
,,,,,24.2696,2,West,38758,53,Consumer,00:00.0,Second Class,1.59,California,Paper,2012,North America,15
,,,,,3.1104,1,West,35746,6,Consumer,00:00.0,Standard Class,0.52,California,Paper,2012,North America,25
,,,,,27.9936,9,West,32057,58,Consumer,00:00.0,Standard Class,7.98,California,Paper,2012,North America,35
,,,,,18.2112,2,West,36102,38,Consumer,00:00.0,Second Class,3.9,California,Paper,2012,North America,47
,,,,,19.26,10,West,36103,43,Consumer,00:00.0,Second Class,6.15,California,Paper,2012,North America,47
,,,,,180.7659,9,West,33074,369,Consumer,00:00.0,Standard Class,6.98,California,Paper,2012,North America,47
,,,,,9.3312,3,West,35414,19,Consumer,00:00.0,Standard Class,1.68,California,Paper,2012,North America,47
,,,,,68.9631,3,West,31361,147,Consumer,00:00.0,Standard Class,4.93,California,Paper,2012,North America,47
,,,,,7.704,4,West,39966,17,Consumer,00:00.0,Second Class,1.31,California,Paper,2012,North America,51
,,,,,31.5192,3,West,37305,69,Consumer,00:00.0,Standard Class,6.36,California,Paper,2012,North America,53
,,,,,8.991,2,West,39776,20,Consumer,00:00.0,Standard Class,1.3,California,Paper,2013,North America,11
,,,,,2.9302,1,West,38455,6,Consumer,00:00.0,Second Class,1.82,California,Paper,2013,North America,13
,,,,,9.6192,3,West,32200,20,Consumer,00:00.0,Standard Class,2.92,California,Paper,2013,North America,15
,,,,,6.2208,2,West,32202,13,Consumer,00:00.0,Standard Class,2.28,California,Paper,2013,North America,15
,,,,,9.3312,3,West,38657,19,Consumer,00:00.0,First Class,1.77,California,Paper,2013,North America,15
,,,,,10.224,4,West,32905,23,Consumer,00:00.0,Second Class,3.87,California,Paper,2013,North America,16
,,,,,8.073,3,West,36111,18,Consumer,00:00.0,First Class,3.42,California,Paper,2013,North America,19
,,,,,2.691,1,West,31457,6,Consumer,00:00.0,First Class,0.41,California,Paper,2013,North America,20
,,,,,8.4966,3,West,35241,17,Consumer,00:00.0,Second Class,1.82,California,Paper,2013,North America,20
,,,,,6.1548,2,West,39165,13,Consumer,00:00.0,Standard Class,0.88,California,Paper,2013,North America,22
,,,,,84.0512,8,West,34718,183,Consumer,00:00.0,Standard Class,17.93,California,Paper,2013,North America,22
,,,,,15.552,5,West,31855,32,Consumer,00:00.0,Standard Class,1.91,California,Paper,2013,North America,24
,,,,,21.7845,5,West,35475,46,Consumer,00:00.0,Second Class,1.14,California,Paper,2013,North America,25
,,,,,107.7216,4,West,37914,220,Consumer,00:00.0,First Class,74.66,California,Paper,2013,North America,25
,,,,,6.2208,2,West,34861,13,Consumer,00:00.0,First Class,1.62,California,Paper,2013,North America,27
,,,,,24.47,1,West,35281,49,Consumer,00:00.0,Second Class,10.36,California,Paper,2013,North America,28
,,,,,7.6146,3,West,36676,16,Consumer,00:00.0,Standard Class,2.15,California,Paper,2013,North America,33
,,,,,18.0096,4,West,40194,38,Consumer,00:00.0,Standard Class,4.05,California,Paper,2013,North America,33
,,,,,9.1056,1,West,32979,19,Consumer,00:00.0,Second Class,1.89,California,Paper,2013,North America,40
,,,,,5.0688,2,West,36300,11,Consumer,00:00.0,Standard Class,1.61,California,Paper,2013,North America,41
,,,,,27.882,2,West,36803,62,Consumer,00:00.0,Same Day,3,California,Paper,2013,North America,41
,,,,,150.984,3,West,35783,315,Consumer,00:00.0,Standard Class,22.15,California,Paper,2013,North America,45
,,,,,56.9772,3,West,35780,116,Consumer,00:00.0,Standard Class,5.57,California,Paper,2013,North America,45
,,,,,9.3312,3,West,35782,19,Consumer,00:00.0,Standard Class,1.3,California,Paper,2013,North America,45
,,,,,32.5008,3,West,36338,68,Consumer,00:00.0,Second Class,10.83,California,Paper,2013,North America,46
,,,,,28.858,5,West,36341,61,Consumer,00:00.0,Second Class,8.68,California,Paper,2013,North America,46
,,,,,69.705,5,West,38276,155,Consumer,00:00.0,Standard Class,9.12,California,Paper,2014,North America,3
,,,,,16.848,6,West,33379,37,Consumer,00:00.0,Standard Class,3.82,California,Paper,2014,North America,9
,,,,,13.5072,3,West,38154,28,Consumer,00:00.0,Standard Class,2.84,California,Paper,2014,North America,16
,,,,,8.763,3,West,38184,19,Consumer,00:00.0,Standard Class,1.52,California,Paper,2014,North America,17
,,,,,7.065,5,West,38689,16,Consumer,00:00.0,Standard Class,0.93,California,Paper,2014,North America,18
,,,,,15.824,5,West,38691,34,Consumer,00:00.0,Standard Class,2.54,California,Paper,2014,North America,18
,,,,,60.2553,3,West,32865,123,Consumer,00:00.0,Same Day,23.65,California,Paper,2014,North America,24
,,,,,19.0512,6,West,35793,39,Consumer,00:00.0,Standard Class,4.89,California,Paper,2014,North America,25
,,,,,100.4255,5,West,39414,205,Consumer,00:00.0,Standard Class,14.98,California,Paper,2014,North America,27
,,,,,27.9936,9,West,40527,58,Consumer,00:00.0,First Class,7.82,California,Paper,2014,North America,30
,,,,,12.4416,4,West,39039,26,Consumer,00:00.0,Standard Class,1.27,California,Paper,2014,North America,34
,,,,,22.8096,9,West,36877,48,Consumer,00:00.0,Second Class,5.29,California,Paper,2014,North America,37
,,,,,79.8912,3,West,36521,166,Consumer,00:00.0,Second Class,11.1,California,Paper,2014,North America,37
,,,,,97.0784,8,West,40620,211,Consumer,00:00.0,Standard Class,15.64,California,Paper,2014,North America,39
,,,,,16.544,5,West,36555,35,Consumer,00:00.0,First Class,7.79,California,Paper,2014,North America,41
,,,,,9.3312,3,West,34133,19,Consumer,00:00.0,Standard Class,1.43,California,Paper,2014,North America,46
